	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16	T17	T18	T19	T20	T21	T22	T23	T24	T25	T26	T27	T28	T29	T30	T31	T32	GC	BPP	Dadj	SEadj	DiffMFE.EFE	Length	AU.GCr	Ar	Ur	Gr	Cr	AAr	GGr	CCr	UUr	AGr	ACr	AUr	GAr	GCr	GUr	CAr	CGr	CUr	UAr	UGr	UCr	Hl	Steml5	Steml3	BP	BP5	BP3	Mism5	Mism3	Bulge5	Bulge3	BulgeN1.5	BulgeN1.3	BulgeN2.5	BulgeN2.3	BulgeN3.5	BulgeN3.3	BulgeN4.5	BulgeN4.3	BulgeN5.5	BulgeN5.3	BulgeN6.5	BulgeN6.3	BulgeN7.5	BulgeN7.3	AUp	GCp	GUp	MFE	MFEadj	EFE	EFEadj	CFE	CDE	MEAFE	MEA	ED	MFEadj.GC	MFEadj.BP	MEAFEadj	EDadj
ENSSSCT00000032124.2	0.2	0.0166666666666667	0	0.0166666666666667	0.0333333333333333	0	0.0166666666666667	0.05	0.05	0.0166666666666667	0	0	0.0166666666666667	0	0.0666666666666667	0.1	0.05	0.0166666666666667	0	0.05	0.0166666666666667	0	0	0.0833333333333333	0.0666666666666667	0.0166666666666667	0	0.0333333333333333	0	0	0.0166666666666667	0.0666666666666667	0.354838709677419	0.161290322580645	0.124408602150538	0.0204591304604094	0.027741935483871	93	1.81818181818182	0.408602150537634	0.236559139784946	0.193548387096774	0.161290322580645	0.139784946236559	0.043010752688172	0.043010752688172	0.0645161290322581	0.0537634408602151	0.032258064516129	0.10752688172043	0.0860215053763441	0.0537634408602151	0.010752688172043	0.0537634408602151	0.043010752688172	0.010752688172043	0.0537634408602151	0.0537634408602151	0.021505376344086	11	37	23	15	15	15	22	8	2	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	5	8	2	-11.9	-0.127956989247312	-14.48	-0.155698924731183	-8.9	11.57	-9.6	72.18	16.83	-0.360606060606061	-0.00853046594982079	-0.103225806451613	0.180967741935484
ENSSSCT00000021040.2	0.0769230769230769	0.0576923076923077	0	0.0192307692307692	0.0192307692307692	0	0.0961538461538462	0.0576923076923077	0.0192307692307692	0	0	0	0.0384615384615385	0.0384615384615385	0.0384615384615385	0.0769230769230769	0.0769230769230769	0.0192307692307692	0	0.0384615384615385	0.0192307692307692	0	0	0.0576923076923077	0.0576923076923077	0	0	0.0961538461538462	0	0	0.0192307692307692	0.0769230769230769	0.386138613861386	0.148514851485149	0.0799009900990099	0.0192974523213434	0.0205940594059406	101	1.58974358974359	0.356435643564356	0.257425742574257	0.178217821782178	0.207920792079208	0.0792079207920792	0.0396039603960396	0.0396039603960396	0.0594059405940594	0.0594059405940594	0.0594059405940594	0.128712871287129	0.0693069306930693	0.0495049504950495	0.0198019801980198	0.099009900990099	0	0.0396039603960396	0.0792079207920792	0.0693069306930693	0.0396039603960396	5	26	26	15	15	15	11	11	3	3	1	1	1	1	0	0	0	0	0	0	0	0	0	0	9	5	1	-14.3	-0.141584158415842	-16.38	-0.162178217821782	-14.3	8.07	-14.3	85.97	12.36	-0.366666666666667	-0.00943894389438944	-0.141584158415842	0.122376237623762
ENSSSCT00000021826.2	0.074468085106383	0.0212765957446809	0.0212765957446809	0.0319148936170213	0.0531914893617021	0.0319148936170213	0.0212765957446809	0.106382978723404	0.0319148936170213	0.0319148936170213	0	0.0425531914893617	0	0.0212765957446809	0.0319148936170213	0.0851063829787234	0	0	0	0.0212765957446809	0.0106382978723404	0.0106382978723404	0.0106382978723404	0.0638297872340426	0	0.0212765957446809	0.0212765957446809	0.0212765957446809	0.0106382978723404	0	0.0531914893617021	0.148936170212766	0.380952380952381	0.304761904761905	0.178761904761905	0.0185399416882658	0.0255238095238095	105	1.625	0.323809523809524	0.295238095238095	0.228571428571429	0.152380952380952	0.0952380952380952	0.0380952380952381	0.0285714285714286	0.0571428571428571	0.0666666666666667	0.0380952380952381	0.0857142857142857	0.0666666666666667	0.0571428571428571	0.0571428571428571	0.0571428571428571	0	0.0571428571428571	0.0666666666666667	0.114285714285714	0.019047619047619	3	53	41	32	32	32	21	9	8	5	4	2	2	2	0	1	0	0	1	0	0	0	0	0	17	9	6	-13.1	-0.124761904761905	-15.78	-0.150285714285714	-10.02	18.77	-7.7	74.01	28.55	-0.3275	-0.00389880952380952	-0.0733333333333333	0.271904761904762
ENSSSCT00000020497.2	0.0285714285714286	0.0428571428571429	0	0	0.0285714285714286	0.0428571428571429	0.0428571428571429	0.0714285714285714	0.0285714285714286	0.0142857142857143	0	0.0142857142857143	0.0142857142857143	0	0.1	0.128571428571429	0	0.0142857142857143	0	0.0714285714285714	0.0142857142857143	0.0285714285714286	0.0428571428571429	0.0571428571428572	0	0	0	0.1	0.0142857142857143	0.0142857142857143	0	0.0857142857142857	0.449438202247191	0.280898876404494	0.049438202247191	0.0216937469258771	0.0168539325842697	89	1.225	0.370786516853933	0.179775280898876	0.269662921348315	0.179775280898876	0.0898876404494382	0.0674157303370786	0.0337078651685393	0.0224719101123595	0.0898876404494382	0.0449438202247191	0.0674157303370786	0.101123595505618	0.0674157303370786	0.0337078651685393	0.0786516853932584	0.0112359550561798	0.0449438202247191	0.0337078651685393	0.0898876404494382	0.0224719101123595	8	32	38	25	25	25	7	13	5	6	3	3	2	2	0	0	0	0	0	0	0	1	0	0	8	12	5	-17.1	-0.192134831460674	-18.6	-0.208988764044944	-17.1	4.4	-17.1	81.34	6.67	-0.4275	-0.00768539325842697	-0.192134831460674	0.0749438202247191
ENSSSCT00000031172.2	0.12	0.0266666666666667	0	0.04	0.0266666666666667	0.0266666666666667	0	0.12	0.04	0.0133333333333333	0	0.04	0.0133333333333333	0	0.0533333333333334	0.0666666666666667	0.0133333333333333	0.0133333333333333	0	0.04	0.0133333333333333	0	0.0266666666666667	0.0666666666666667	0.04	0	0	0	0	0.0133333333333333	0.04	0.146666666666667	0.386792452830189	0.226415094339623	0.0491509433962264	0.0182146734892553	0.0172641509433962	106	1.58536585365854	0.377358490566038	0.235849056603774	0.226415094339623	0.160377358490566	0.10377358490566	0.0471698113207547	0.0377358490566038	0.0377358490566038	0.0849056603773585	0.00943396226415094	0.122641509433962	0.0754716981132075	0.0660377358490566	0.0377358490566038	0.0566037735849057	0.0377358490566038	0.0188679245283019	0.0754716981132075	0.0566037735849057	0.0377358490566038	5	38	37	24	24	24	14	13	3	4	1	2	0	0	1	0	0	1	0	0	0	0	0	1	12	10	2	-20.7	-0.195283018867925	-22.53	-0.212547169811321	-20.7	5.21	-20.7	96.59	8.34	-0.504878048780488	-0.00813679245283019	-0.195283018867925	0.0786792452830189
ENSSSCT00000021641.2	0.168674698795181	0.036144578313253	0	0.0240963855421687	0.0481927710843374	0.0240963855421687	0.0240963855421687	0.0602409638554217	0.036144578313253	0	0	0	0.0120481927710843	0	0.0602409638554217	0.072289156626506	0.108433734939759	0.0240963855421687	0	0.036144578313253	0	0	0.0120481927710843	0.0602409638554217	0.0602409638554217	0	0	0.0481927710843374	0	0	0.0120481927710843	0.072289156626506	0.394230769230769	0.192307692307692	0.135865384615385	0.0184754324295026	0.0231730769230769	104	1.53658536585366	0.384615384615385	0.221153846153846	0.153846153846154	0.240384615384615	0.0865384615384615	0.0288461538461538	0.0384615384615385	0.0576923076923077	0.0576923076923077	0.105769230769231	0.0961538461538462	0.0673076923076923	0.0576923076923077	0	0.144230769230769	0.00961538461538462	0.0384615384615385	0.0480769230769231	0.0576923076923077	0.0288461538461538	8	32	51	20	20	20	12	31	2	5	0	2	0	0	0	0	0	0	1	1	0	0	1	0	9	9	2	-9	-0.0865384615384615	-11.41	-0.109711538461538	-4.5	14.13	-5.2	80.28	21.92	-0.219512195121951	-0.00432692307692308	-0.05	0.210769230769231
ENSSSCT00000031088.2	0.0625	0.0125	0	0.075	0.025	0.0625	0.05	0.1125	0.025	0.0125	0	0.025	0	0.0375	0.025	0.075	0	0	0	0.0375	0	0.0125	0.025	0.025	0.0125	0	0	0.0375	0	0.0125	0.075	0.1625	0.281553398058252	0.281553398058252	0.0981553398058252	0.0174429144681787	0.0280582524271845	103	2.55172413793103	0.446601941747573	0.271844660194175	0.194174757281553	0.087378640776699	0.135922330097087	0.029126213592233	0.00970873786407767	0.0679611650485437	0.0776699029126214	0.00970873786407767	0.12621359223301	0.0776699029126214	0.0485436893203883	0.0388349514563107	0.0485436893203883	0	0.0194174757281553	0.087378640776699	0.087378640776699	0.00970873786407767	7	46	34	29	29	29	17	5	6	5	5	5	0	0	1	0	0	0	0	0	0	0	0	0	19	7	3	-13	-0.12621359223301	-15.89	-0.154271844660194	-10.6	10.11	-13	86.1	14.26	-0.448275862068966	-0.00435219283562102	-0.12621359223301	0.138446601941748
ENSSSCT00000022137.2	0.0246913580246914	0.0617283950617284	0	0.0246913580246914	0.037037037037037	0.0123456790123457	0.0617283950617284	0.148148148148148	0.0123456790123457	0	0	0	0.0246913580246914	0.0246913580246914	0.0493827160493827	0.0740740740740741	0.037037037037037	0.0123456790123457	0	0.037037037037037	0.0123456790123457	0	0	0.0493827160493827	0.0246913580246914	0	0	0.0740740740740741	0	0	0.0246913580246914	0.172839506172839	0.333333333333333	0.292929292929293	0.0395959595959596	0.0192850804041242	0.0134343434343434	99	2	0.373737373737374	0.292929292929293	0.181818181818182	0.151515151515152	0.111111111111111	0.0202020202020202	0.0202020202020202	0.0606060606060606	0.0606060606060606	0.0505050505050505	0.111111111111111	0.0606060606060606	0.0505050505050505	0.0505050505050505	0.0808080808080808	0	0.0404040404040404	0.0909090909090909	0.0909090909090909	0.0202020202020202	3	40	41	29	29	29	11	12	5	4	2	1	0	0	3	2	0	0	0	1	0	0	0	0	19	7	3	-21.1	-0.213131313131313	-22.43	-0.226565656565657	-21.1	3.92	-21.1	91.98	6.64	-0.63939393939394	-0.00734935562521769	-0.213131313131313	0.0670707070707071
ENSSSCT00000021999.2	0.0192307692307692	0	0	0.0576923076923077	0.0384615384615385	0	0	0.153846153846154	0.0192307692307692	0	0.0192307692307692	0.0192307692307692	0	0.0384615384615385	0	0.153846153846154	0	0.0192307692307692	0	0.0192307692307692	0.0192307692307692	0	0.0384615384615385	0.0576923076923077	0	0.0384615384615385	0.0192307692307692	0	0	0	0.0576923076923077	0.211538461538461	0.443181818181818	0.238636363636364	0.145227272727273	0.022544196909585	0.0251136363636364	88	1.25641025641026	0.261363636363636	0.295454545454545	0.193181818181818	0.25	0.0568181818181818	0.0568181818181818	0.0454545454545455	0.0681818181818182	0.0681818181818182	0.0454545454545455	0.0681818181818182	0.0795454545454545	0.0340909090909091	0.0113636363636364	0.0681818181818182	0.0340909090909091	0.0909090909090909	0.0340909090909091	0.0340909090909091	0.113636363636364	13	28	24	21	21	21	7	3	3	1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	11	6	4	-15.1	-0.171590909090909	-17.31	-0.196704545454545	-14.9	12.78	-14.9	66.48	20.44	-0.387179487179487	-0.00817099567099567	-0.169318181818182	0.232272727272727
ENSSSCT00000021643.2	0	0	0	0.0204081632653061	0.0204081632653061	0.0204081632653061	0.0204081632653061	0.122448979591837	0	0	0.0204081632653061	0.0204081632653061	0	0.0204081632653061	0.0612244897959184	0.163265306122449	0	0.0204081632653061	0	0.0612244897959184	0	0.0612244897959184	0	0.142857142857143	0	0	0	0.0408163265306122	0	0	0.0612244897959184	0.122448979591837	0.470588235294118	0.247058823529412	0.153882352941176	0.0234444483230581	0.0222352941176471	85	1.125	0.294117647058824	0.235294117647059	0.235294117647059	0.235294117647059	0.0588235294117647	0.0352941176470588	0.0588235294117647	0.0588235294117647	0.0823529411764706	0.0823529411764706	0.0352941176470588	0.0823529411764706	0.0588235294117647	0.0588235294117647	0.0823529411764706	0.0352941176470588	0.0588235294117647	0.0352941176470588	0.0823529411764706	0.0352941176470588	6	25	24	21	21	21	4	3	3	2	3	1	0	1	0	0	0	0	0	0	0	0	0	0	8	10	3	-17.9	-0.210588235294118	-19.79	-0.232823529411765	-17.9	13.08	-17.9	65.56	19.69	-0.4475	-0.0100280112044818	-0.210588235294118	0.231647058823529
ENSSSCT00000020473.2	0.0470588235294118	0.0235294117647059	0	0.0117647058823529	0.0117647058823529	0.0117647058823529	0.0235294117647059	0.141176470588235	0.0117647058823529	0	0	0.0470588235294118	0	0.0117647058823529	0.0235294117647059	0.117647058823529	0.0352941176470588	0.0117647058823529	0	0.0235294117647059	0.0235294117647059	0.0117647058823529	0.0235294117647059	0.0823529411764706	0.0235294117647059	0.0235294117647059	0	0.0352941176470588	0.0235294117647059	0	0.0470588235294118	0.152941176470588	0.35042735042735	0.264957264957265	0.0661538461538462	0.0165296941596361	0.0135897435897436	117	1.85365853658537	0.333333333333333	0.316239316239316	0.179487179487179	0.170940170940171	0.094017094017094	0.0256410256410256	0.0427350427350427	0.0854700854700855	0.0598290598290598	0.0341880341880342	0.102564102564103	0.0512820512820513	0.0512820512820513	0.0512820512820513	0.0598290598290598	0.00854700854700855	0.0427350427350427	0.0769230769230769	0.0854700854700855	0.0256410256410256	7	45	40	31	31	31	14	9	4	4	1	2	1	0	1	1	0	1	0	0	0	0	0	0	15	11	5	-24.1	-0.205982905982906	-25.69	-0.21957264957265	-23.9	7.74	-23.9	104.01	12.43	-0.587804878048781	-0.00664460987041632	-0.204273504273504	0.106239316239316
ENSSSCT00000020862.2	0.04	0.05	0	0.03	0.03	0.01	0.05	0.05	0.03	0	0	0.04	0.02	0	0.03	0.1	0.05	0.01	0	0.02	0.02	0.01	0.03	0.1	0.08	0.03	0	0.04	0.02	0	0.02	0.09	0.426086956521739	0.260869565217391	0.103217391304348	0.017196058961814	0.0236521739130435	115	1.3469387755102	0.260869565217391	0.31304347826087	0.191304347826087	0.234782608695652	0.0608695652173913	0.0260869565217391	0.0608695652173913	0.0782608695652174	0.0521739130434783	0.0434782608695652	0.0869565217391304	0.0521739130434783	0.0695652173913043	0.0434782608695652	0.0608695652173913	0.0260869565217391	0.0695652173913043	0.0608695652173913	0.0869565217391304	0.0434782608695652	5	57	43	30	30	30	27	13	6	5	1	1	2	2	1	1	0	0	0	1	0	0	0	0	13	15	2	-22	-0.191304347826087	-24.72	-0.21495652173913	-15.7	11.87	-19.4	95.31	17.09	-0.448979591836735	-0.0063768115942029	-0.168695652173913	0.148608695652174
